	(1)
VARIABLES	lfpr
	
1.agecat	0.35**
	(0.14)
2.agecat	-0.57***
	(0.16)
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
0b.agecat#0b.kids1	0.00
	(0.00)
0b.agecat#1.kids1	-0.05
	(0.03)
1o.agecat#0b.kids1	0.00
	(0.00)
1.agecat#1.kids1	-0.11***
	(0.02)
2o.agecat#0b.kids1	0.00
	(0.00)
2.agecat#1.kids1	0.22***
	(0.04)
0b.agecat#1b.educ	0.00
	(0.00)
0b.agecat#2.educ	0.12***
	(0.04)
0b.agecat#3.educ	0.82***
	(0.07)
1o.agecat#1b.educ	0.00
	(0.00)
1.agecat#2.educ	0.12***
	(0.03)
1.agecat#3.educ	0.45***
	(0.03)
2o.agecat#1b.educ	0.00
	(0.00)
2.agecat#2.educ	0.15***
	(0.03)
2.agecat#3.educ	0.39***
	(0.05)
0b.agecat#0b.urban	0.00
	(0.00)
0b.agecat#1.urban	0.04
	(0.03)
1o.agecat#0b.urban	0.00
	(0.00)
1.agecat#1.urban	-0.02
	(0.02)
2o.agecat#0b.urban	0.00
	(0.00)
2.agecat#1.urban	-0.14***
	(0.03)
0b.agecat#0b.internet	0.00
	(0.00)
0b.agecat#1.internet	-0.01
	(0.04)
1o.agecat#0b.internet	0.00
	(0.00)
1.agecat#1.internet	0.24***
	(0.03)
2o.agecat#0b.internet	0.00
	(0.00)
2.agecat#1.internet	0.36***
	(0.03)
0b.agecat#0b.phone	0.00
	(0.00)
0b.agecat#1.phone	0.21***
	(0.04)
1o.agecat#0b.phone	0.00
	(0.00)
1.agecat#1.phone	0.13***
	(0.03)
2o.agecat#0b.phone	0.00
	(0.00)
2.agecat#1.phone	0.07
	(0.05)
0b.agecat#0b.respect	0.00
	(0.00)
0b.agecat#1.respect	0.06**
	(0.03)
1o.agecat#0b.respect	0.00
	(0.00)
1.agecat#1.respect	0.04**
	(0.02)
2o.agecat#0b.respect	0.00
	(0.00)
2.agecat#1.respect	-0.08***
	(0.03)
0b.agecat#1b.poor	0.00
	(0.00)
0b.agecat#2.poor	0.15***
	(0.04)
0b.agecat#3.poor	0.25***
	(0.04)
1o.agecat#1b.poor	0.00
	(0.00)
1.agecat#2.poor	0.06***
	(0.02)
1.agecat#3.poor	0.13***
	(0.03)
2o.agecat#1b.poor	0.00
	(0.00)
2.agecat#2.poor	0.23***
	(0.04)
2.agecat#3.poor	0.36***
	(0.04)
0b.agecat#0b.married	0.00
	(0.00)
0b.agecat#1.married	0.26***
	(0.03)
1o.agecat#0b.married	0.00
	(0.00)
1.agecat#1.married	-0.16***
	(0.02)
2o.agecat#0b.married	0.00
	(0.00)
2.agecat#1.married	0.15***
	(0.03)
0b.agecat#0b.pref_work	0.00
	(0.00)
0b.agecat#1.pref_work	0.29***
	(0.05)
1o.agecat#0b.pref_work	0.00
	(0.00)
1.agecat#1.pref_work	0.56***
	(0.02)
2o.agecat#0b.pref_work	0.00
	(0.00)
2.agecat#1.pref_work	0.49***
	(0.03)
0b.agecat#0b.pref_accept	0.00
	(0.00)
0b.agecat#1.pref_accept	0.07
	(0.05)
1o.agecat#0b.pref_accept	0.00
	(0.00)
1.agecat#1.pref_accept	0.12***
	(0.03)
2o.agecat#0b.pref_accept	0.00
	(0.00)
2.agecat#1.pref_accept	-0.00
	(0.06)
0b.agecat#1.pref_opport	0.00
	(0.04)
0b.agecat#2b.pref_opport	0.00
	(0.00)
0b.agecat#3.pref_opport	-0.04
	(0.04)
0b.agecat#4.pref_opport	-0.07
	(0.08)
1.agecat#1.pref_opport	0.06**
	(0.02)
1o.agecat#2b.pref_opport	0.00
	(0.00)
1.agecat#3.pref_opport	0.03
	(0.02)
1.agecat#4.pref_opport	-0.09*
	(0.05)
2.agecat#1.pref_opport	0.19***
	(0.04)
2o.agecat#2b.pref_opport	0.00
	(0.00)
2.agecat#3.pref_opport	-0.10***
	(0.03)
2.agecat#4.pref_opport	-0.05
	(0.06)
0b.agecat#1.religion	0.11
	(0.08)
0b.agecat#2.religion	-0.02
	(0.07)
0b.agecat#3.religion	-0.24***
	(0.08)
0b.agecat#4.religion	-0.12
	(0.13)
0b.agecat#5b.religion	0.00
	(0.00)
1.agecat#1.religion	-0.05
	(0.05)
1.agecat#2.religion	-0.03
	(0.04)
1.agecat#3.religion	-0.25***
	(0.05)
1.agecat#4.religion	-0.07
	(0.10)
1o.agecat#5b.religion	0.00
	(0.00)
2.agecat#1.religion	-0.02
	(0.07)
2.agecat#2.religion	-0.14***
	(0.05)
2.agecat#3.religion	-0.27***
	(0.08)
2.agecat#4.religion	0.09
	(0.13)
