	(1)
VARIABLES	lfpr
	
1.agecat	0.10
	(0.33)
2.agecat	-0.58
	(0.44)
1b.smartcat#0b.agecat#c.housenum	-0.06**
	(0.03)
1b.smartcat#1.agecat#c.housenum	-0.02
	(0.02)
1b.smartcat#2.agecat#c.housenum	-0.02
	(0.05)
2.smartcat#0b.agecat#c.housenum	-0.15***
	(0.06)
2.smartcat#1.agecat#c.housenum	0.04
	(0.03)
2.smartcat#2.agecat#c.housenum	0.17***
	(0.03)
3.smartcat#0b.agecat#c.housenum	-0.02
	(0.04)
3.smartcat#1.agecat#c.housenum	-0.02
	(0.02)
3.smartcat#2.agecat#c.housenum	0.07
	(0.06)
1b.smartcat#0b.agecat#c.housenum#c.housenum	0.01***
	(0.00)
1b.smartcat#1.agecat#c.housenum#c.housenum	0.00
	(0.00)
1b.smartcat#2.agecat#c.housenum#c.housenum	0.00
	(0.00)
2.smartcat#0b.agecat#c.housenum#c.housenum	0.01*
	(0.01)
2.smartcat#1.agecat#c.housenum#c.housenum	-0.01
	(0.00)
2.smartcat#2.agecat#c.housenum#c.housenum	-0.01***
	(0.00)
3.smartcat#0b.agecat#c.housenum#c.housenum	0.00
	(0.00)
3.smartcat#1.agecat#c.housenum#c.housenum	0.00
	(0.00)
3.smartcat#2.agecat#c.housenum#c.housenum	-0.01*
	(0.01)
1b.smartcat#0b.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#0b.agecat#2.educ	-0.37***
	(0.06)
1b.smartcat#0b.agecat#3.educ	-0.32
	(0.31)
1b.smartcat#1o.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#1.agecat#2.educ	0.08
	(0.06)
1b.smartcat#1.agecat#3.educ	0.52***
	(0.16)
1b.smartcat#2o.agecat#1b.educ	0.00
	(0.00)
1b.smartcat#2.agecat#2.educ	0.77***
	(0.21)
1b.smartcat#2.agecat#3.educ	-0.21
	(0.50)
2.smartcat#0b.agecat#1b.educ	-0.89*
	(0.51)
2.smartcat#0b.agecat#2.educ	-0.61
	(0.51)
2.smartcat#0b.agecat#3.educ	-0.06
	(0.52)
2.smartcat#1.agecat#1b.educ	-0.41
	(0.46)
2.smartcat#1.agecat#2.educ	-0.24
	(0.46)
2.smartcat#1.agecat#3.educ	-0.01
	(0.46)
2.smartcat#2.agecat#1b.educ	-0.37***
	(0.05)
2.smartcat#2.agecat#2.educ	-0.25***
	(0.04)
2o.smartcat#2o.agecat#3o.educ	0.00
	(0.00)
3.smartcat#0b.agecat#1b.educ	-0.83
	(0.55)
3.smartcat#0b.agecat#2.educ	-0.50
	(0.55)
3.smartcat#0b.agecat#3.educ	0.18
	(0.56)
3.smartcat#1.agecat#1b.educ	-0.58
	(0.49)
3.smartcat#1.agecat#2.educ	-0.52
	(0.49)
3.smartcat#1.agecat#3.educ	-0.03
	(0.49)
3.smartcat#2.agecat#1b.educ	-0.39***
	(0.10)
3.smartcat#2.agecat#2.educ	-0.22**
	(0.09)
3o.smartcat#2o.agecat#3o.educ	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#0b.agecat#1.kids1	0.13*
	(0.08)
1b.smartcat#1o.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#1.agecat#1.kids1	0.08
	(0.08)
1b.smartcat#2o.agecat#0b.kids1	0.00
	(0.00)
1b.smartcat#2.agecat#1.kids1	0.08
	(0.12)
2.smartcat#0b.agecat#0b.kids1	0.06
	(0.05)
2o.smartcat#0b.agecat#1o.kids1	0.00
	(0.00)
2.smartcat#1.agecat#0b.kids1	0.15***
	(0.03)
2o.smartcat#1o.agecat#1o.kids1	0.00
	(0.00)
2.smartcat#2.agecat#0b.kids1	-0.09*
	(0.05)
2o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#0b.agecat#0b.kids1	0.09
	(0.06)
3o.smartcat#0b.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#1.agecat#0b.kids1	0.06*
	(0.04)
3o.smartcat#1o.agecat#1o.kids1	0.00
	(0.00)
3.smartcat#2.agecat#0b.kids1	-0.25***
	(0.07)
3o.smartcat#2o.agecat#1o.kids1	0.00
	(0.00)
1b.smartcat#0b.agecat#1.pref_opport	0.13*
	(0.07)
1b.smartcat#0b.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#0b.agecat#3.pref_opport	0.03
	(0.07)
1b.smartcat#0b.agecat#4.pref_opport	0.09
	(0.13)
1b.smartcat#1.agecat#1.pref_opport	0.01
	(0.05)
1b.smartcat#1o.agecat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#1.agecat#3.pref_opport	0.07
