	(1)
VARIABLES	lfpr
	
2.devcat	0.03
	(0.26)
3.devcat	-0.32
	(0.57)
4.devcat	-2.09***
	(0.57)
1.agecat	0.33
	(0.24)
2.agecat	-0.16
	(0.37)
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
1b.devcat#0b.agecat#1b.educ	0.00
	(0.00)
1b.devcat#0b.agecat#2.educ	-0.38***
	(0.06)
1b.devcat#0b.agecat#3.educ	-0.23
	(0.31)
1b.devcat#1o.agecat#1b.educ	0.00
	(0.00)
1b.devcat#1.agecat#2.educ	0.08
	(0.06)
1b.devcat#1.agecat#3.educ	0.52***
	(0.16)
1b.devcat#2o.agecat#1b.educ	0.00
	(0.00)
1b.devcat#2.agecat#2.educ	0.82***
	(0.22)
1b.devcat#2.agecat#3.educ	-0.12
	(0.50)
2o.devcat#0b.agecat#1b.educ	0.00
	(0.00)
2.devcat#0b.agecat#2.educ	0.27***
	(0.05)
2.devcat#0b.agecat#3.educ	0.95***
	(0.09)
2.devcat#1.agecat#1b.educ	0.82***
	(0.31)
2.devcat#1.agecat#2.educ	0.88***
	(0.31)
2.devcat#1.agecat#3.educ	1.20***
	(0.31)
2.devcat#2.agecat#1b.educ	0.51
	(0.44)
2.devcat#2.agecat#2.educ	0.60
	(0.44)
2.devcat#2.agecat#3.educ	0.78*
	(0.44)
3o.devcat#0b.agecat#1b.educ	0.00
	(0.00)
3.devcat#0b.agecat#2.educ	0.39***
	(0.11)
3.devcat#0b.agecat#3.educ	0.83***
	(0.15)
3.devcat#1.agecat#1b.educ	0.58
	(0.60)
3.devcat#1.agecat#2.educ	0.94
	(0.60)
3.devcat#1.agecat#3.educ	1.14*
	(0.60)
3.devcat#2.agecat#1b.educ	0.83
	(0.66)
3.devcat#2.agecat#2.educ	1.03
	(0.66)
3.devcat#2.agecat#3.educ	1.21*
	(0.66)
4o.devcat#0b.agecat#1b.educ	0.00
	(0.00)
4.devcat#0b.agecat#2.educ	0.14
	(0.14)
4.devcat#0b.agecat#3.educ	1.31***
	(0.19)
4.devcat#1.agecat#1b.educ	0.94*
	(0.55)
4.devcat#1.agecat#2.educ	1.18**
	(0.55)
4.devcat#1.agecat#3.educ	1.76***
	(0.55)
4.devcat#2.agecat#1b.educ	2.65***
	(0.86)
4.devcat#2.agecat#2.educ	3.14***
	(0.84)
4.devcat#2.agecat#3.educ	4.06***
	(0.89)
1b.devcat#0b.agecat#0b.pref_work	0.00
	(0.00)
1b.devcat#0b.agecat#1.pref_work	0.24**
	(0.10)
1b.devcat#1o.agecat#0b.pref_work	0.00
	(0.00)
1b.devcat#1.agecat#1.pref_work	0.30***
	(0.06)
1b.devcat#2o.agecat#0b.pref_work	0.00
	(0.00)
1b.devcat#2.agecat#1.pref_work	0.49***
	(0.11)
2o.devcat#0b.agecat#0b.pref_work	0.00
	(0.00)
2.devcat#0b.agecat#1.pref_work	0.27***
	(0.07)
2.devcat#1.agecat#0b.pref_work	-0.49***
	(0.03)
2o.devcat#1o.agecat#1o.pref_work	0.00
	(0.00)
2.devcat#2.agecat#0b.pref_work	-0.41***
	(0.04)
2o.devcat#2o.agecat#1o.pref_work	0.00
	(0.00)
3o.devcat#0b.agecat#0b.pref_work	0.00
	(0.00)
3.devcat#0b.agecat#1.pref_work	0.35**
	(0.14)
3.devcat#1.agecat#0b.pref_work	-0.71***
	(0.05)
3o.devcat#1o.agecat#1o.pref_work	0.00
	(0.00)
3.devcat#2.agecat#0b.pref_work	-0.60***
	(0.05)
3o.devcat#2o.agecat#1o.pref_work	0.00
	(0.00)
4o.devcat#0b.agecat#0b.pref_work	0.00
	(0.00)
4.devcat#0b.agecat#1.pref_work	0.58***
	(0.18)
4.devcat#1.agecat#0b.pref_work	-0.99***
	(0.08)
4o.devcat#1o.agecat#1o.pref_work	0.00
	(0.00)
4.devcat#2.agecat#0b.pref_work	-1.37***
	(0.18)
4o.devcat#2o.agecat#1o.pref_work	0.00
	(0.00)
1b.devcat#0b.agecat#0b.kids1	0.00
	(0.00)
1b.devcat#0b.agecat#1.kids1	0.13*
	(0.08)
1b.devcat#1o.agecat#0b.kids1	0.00
	(0.00)
1b.devcat#1.agecat#1.kids1	0.09
	(0.08)
1b.devcat#2o.agecat#0b.kids1	0.00
	(0.00)
1b.devcat#2.agecat#1.kids1	0.09
	(0.12)
2o.devcat#0b.agecat#0b.kids1	0.00
	(0.00)
2.devcat#0b.agecat#1.kids1	-0.01
	(0.04)
2.devcat#1.agecat#0b.kids1	0.14***
	(0.03)
2o.devcat#1o.agecat#1o.kids1	0.00
	(0.00)
2.devcat#2.agecat#0b.kids1	-0.13***
