	(1)
VARIABLES	lfpr
	
1.agecat	0.84***
	(0.18)
2.agecat	-0.38
	(0.24)
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
1b.smartcat#0b.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#0b.agecat#1b.educ#1.lowincome	0.32
	(0.57)
1b.smartcat#0b.agecat#2.educ#0b.lowincome	0.26***
	(0.05)
1b.smartcat#0b.agecat#2.educ#1.lowincome	-0.04
	(0.56)
1b.smartcat#0b.agecat#3.educ#0b.lowincome	1.04***
	(0.09)
1b.smartcat#0b.agecat#3.educ#1.lowincome	0.06
	(0.64)
1b.smartcat#1o.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#1.agecat#1b.educ#1.lowincome	0.11
	(0.56)
1b.smartcat#1.agecat#2.educ#0b.lowincome	0.10***
	(0.03)
1b.smartcat#1.agecat#2.educ#1.lowincome	0.13
	(0.56)
1b.smartcat#1.agecat#3.educ#0b.lowincome	0.49***
	(0.04)
1b.smartcat#1.agecat#3.educ#1.lowincome	0.52
	(0.58)
1b.smartcat#2o.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#2.agecat#1b.educ#1.lowincome	0.18
	(0.56)
1b.smartcat#2.agecat#2.educ#0b.lowincome	0.09*
	(0.05)
1b.smartcat#2.agecat#2.educ#1.lowincome	0.90
	(0.59)
1b.smartcat#2.agecat#3.educ#0b.lowincome	0.31***
	(0.07)
1b.smartcat#2o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#0b.agecat#1b.educ#0b.lowincome	-0.79***
	(0.16)
2o.smartcat#0b.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#0b.agecat#2.educ#0b.lowincome	-0.43***
	(0.13)
2o.smartcat#0b.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
2o.smartcat#0b.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
2o.smartcat#0b.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#1.agecat#1b.educ#0b.lowincome	-0.60***
	(0.09)
2o.smartcat#1o.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#1.agecat#2.educ#0b.lowincome	-0.16***
	(0.05)
2o.smartcat#1o.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
2o.smartcat#1o.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
2o.smartcat#1o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#2.agecat#1b.educ#0b.lowincome	-0.37***
	(0.07)
2o.smartcat#2o.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#2.agecat#2.educ#0b.lowincome	-0.19***
	(0.05)
2o.smartcat#2o.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
2o.smartcat#2o.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
2o.smartcat#2o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#0b.agecat#1b.educ#0b.lowincome	-1.34***
	(0.31)
3o.smartcat#0b.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#0b.agecat#2.educ#0b.lowincome	-0.66***
	(0.17)
3o.smartcat#0b.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
3o.smartcat#0b.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
3o.smartcat#0b.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#1.agecat#1b.educ#0b.lowincome	-0.52***
	(0.16)
3o.smartcat#1o.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#1.agecat#2.educ#0b.lowincome	-0.42***
	(0.09)
3o.smartcat#1o.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
3o.smartcat#1o.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
3o.smartcat#1o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#2.agecat#1b.educ#0b.lowincome	-0.39**
	(0.18)
3o.smartcat#2o.agecat#1b.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#2.agecat#2.educ#0b.lowincome	-0.15
	(0.15)
3o.smartcat#2o.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
3o.smartcat#2o.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
3o.smartcat#2o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
1b.smartcat#0b.agecat#0b.pref_work	0.00
	(0.00)
1b.smartcat#0b.agecat#1.pref_work	0.27***
	(0.05)
1b.smartcat#1o.agecat#0b.pref_work	0.00
	(0.00)
