	(1)
VARIABLES	lfpr
	
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
1b.smartcat#0b.agecat	0.00
	(0.00)
1b.smartcat#1.agecat	0.51***
	(0.02)
1b.smartcat#2.agecat	-0.08***
	(0.03)
2.smartcat#0b.agecat	0.29***
	(0.05)
2.smartcat#1.agecat	1.00***
	(0.04)
2o.smartcat#2o.agecat	0.00
	(0.00)
3.smartcat#0b.agecat	0.16
	(0.11)
3.smartcat#1.agecat	0.81***
	(0.08)
3o.smartcat#2o.agecat	0.00
	(0.00)
1b.smartcat#1b.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#1b.educ#1.lowincome	-0.22*
	(0.13)
1b.smartcat#2.educ#0b.lowincome	0.14***
	(0.02)
1b.smartcat#2.educ#1.lowincome	-0.41***
	(0.13)
1b.smartcat#3.educ#0b.lowincome	0.60***
	(0.03)
1b.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#1b.educ#0b.lowincome	-0.51***
	(0.05)
2o.smartcat#1b.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#2.educ#0b.lowincome	-0.20***
	(0.03)
2o.smartcat#2o.educ#1o.lowincome	0.00
	(0.00)
2o.smartcat#3o.educ#0b.lowincome	0.00
	(0.00)
2o.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#1b.educ#0b.lowincome	-0.66***
	(0.11)
3o.smartcat#1b.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#2.educ#0b.lowincome	-0.41***
	(0.07)
3o.smartcat#2o.educ#1o.lowincome	0.00
	(0.00)
3o.smartcat#3o.educ#0b.lowincome	0.00
	(0.00)
3o.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
1b.smartcat#0b.pref_work	0.00
	(0.00)
1b.smartcat#1.pref_work	0.43***
	(0.02)
2.smartcat#0b.pref_work	-0.60***
	(0.04)
2o.smartcat#1o.pref_work	0.00
	(0.00)
3.smartcat#0b.pref_work	-1.00***
	(0.08)
3o.smartcat#1o.pref_work	0.00
	(0.00)
1b.smartcat#0b.kids1	0.00
	(0.00)
1b.smartcat#1.kids1	-0.04**
	(0.02)
2.smartcat#0b.kids1	0.08**
	(0.04)
2o.smartcat#1o.kids1	0.00
	(0.00)
3.smartcat#0b.kids1	0.05
	(0.07)
3o.smartcat#1o.kids1	0.00
	(0.00)
1b.smartcat#0b.married	0.00
	(0.00)
1b.smartcat#1.married	0.01
	(0.02)
2.smartcat#0b.married	-0.06**
	(0.03)
2o.smartcat#1o.married	0.00
	(0.00)
3.smartcat#0b.married	0.18***
	(0.06)
3o.smartcat#1o.married	0.00
	(0.00)
1b.smartcat#1.pref_opport	0.06***
	(0.02)
1b.smartcat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#3.pref_opport	0.00
	(0.02)
1b.smartcat#4.pref_opport	-0.08**
	(0.04)
2.smartcat#1.pref_opport	0.17
	(0.11)
2.smartcat#2b.pref_opport	0.01
	(0.09)
2.smartcat#3.pref_opport	-0.03
	(0.09)
2o.smartcat#4o.pref_opport	0.00
	(0.00)
3.smartcat#1.pref_opport	0.48***
	(0.16)
3.smartcat#2b.pref_opport	0.38**
	(0.16)
3.smartcat#3.pref_opport	0.31*
	(0.16)
3o.smartcat#4o.pref_opport	0.00
	(0.00)
1b.smartcat#c.optimism	0.04
	(0.03)
2.smartcat#c.optimism	0.33***
	(0.05)
3.smartcat#c.optimism	0.08
	(0.10)
1b.smartcat#0b.respect	0.00
	(0.00)
1b.smartcat#1.respect	0.00
	(0.02)
2.smartcat#0b.respect	-0.06*
	(0.04)
2o.smartcat#1o.respect	0.00
	(0.00)
3.smartcat#0b.respect	0.05
	(0.07)
3o.smartcat#1o.respect	0.00
	(0.00)
1b.smartcat#0b.internet	0.00
	(0.00)
1b.smartcat#1.internet	0.15***
	(0.02)
2.smartcat#0b.internet	-0.48***
	(0.05)
2o.smartcat#1o.internet	0.00
	(0.00)
3.smartcat#0b.internet	-0.37***
	(0.08)
3o.smartcat#1o.internet	0.00
	(0.00)
1b.smartcat#0b.phone	0.00
	(0.00)
1b.smartcat#1.phone	0.18***
	(0.02)
2.smartcat#0b.phone	0.20
	(0.15)
2o.smartcat#1o.phone	0.00
	(0.00)
3.smartcat#0b.phone	-0.39*
	(0.24)
3o.smartcat#1o.phone	0.00
	(0.00)
1b.smartcat#1b.poor	0.00
	(0.00)
1b.smartcat#2.poor	0.14***
	(0.02)
1b.smartcat#3.poor	0.23***
	(0.02)
2.smartcat#1b.poor	-0.16**
	(0.07)
2.smartcat#2.poor	-0.10
	(0.08)
