	(1)
VARIABLES	lfpr
	
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
1b.smartcat#0b.agecat	0.00
	(0.00)
1b.smartcat#1.agecat	0.34***
	(0.04)
1b.smartcat#2.agecat	-0.06
	(0.06)
2.smartcat#0b.agecat	0.17***
	(0.03)
2.smartcat#1.agecat	0.88***
	(0.02)
2o.smartcat#2o.agecat	0.00
	(0.00)
3.smartcat#0b.agecat	0.11**
	(0.05)
3.smartcat#1.agecat	0.64***
	(0.04)
3o.smartcat#2o.agecat	0.00
	(0.00)
1b.smartcat#1b.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#1b.educ#1.lowincome	-0.34**
	(0.13)
1b.smartcat#2o.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#2.educ#1.lowincome	-0.48***
	(0.13)
1b.smartcat#3o.educ#0b.lowincome	0.00
	(0.00)
1b.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#1b.educ#0b.lowincome	-0.46***
	(0.03)
2o.smartcat#1b.educ#1o.lowincome	0.00
	(0.00)
2.smartcat#2.educ#0b.lowincome	-0.27***
	(0.03)
2o.smartcat#2o.educ#1o.lowincome	0.00
	(0.00)
2o.smartcat#3o.educ#0b.lowincome	0.00
	(0.00)
2o.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#1b.educ#0b.lowincome	-0.68***
	(0.05)
3o.smartcat#1b.educ#1o.lowincome	0.00
	(0.00)
3.smartcat#2.educ#0b.lowincome	-0.54***
	(0.04)
3o.smartcat#2o.educ#1o.lowincome	0.00
	(0.00)
3o.smartcat#3o.educ#0b.lowincome	0.00
	(0.00)
3o.smartcat#3o.educ#1o.lowincome	0.00
	(0.00)
1b.smartcat#0b.pref_work	0.00
	(0.00)
1b.smartcat#1.pref_work	0.30***
	(0.05)
2.smartcat#0b.pref_work	-0.43***
	(0.03)
2o.smartcat#1o.pref_work	0.00
	(0.00)
3.smartcat#0b.pref_work	-0.67***
	(0.03)
3o.smartcat#1o.pref_work	0.00
	(0.00)
1b.smartcat#0b.kids1	0.00
	(0.00)
1b.smartcat#1.kids1	0.10**
	(0.05)
2.smartcat#0b.kids1	0.07***
	(0.02)
2o.smartcat#1o.kids1	0.00
	(0.00)
3.smartcat#0b.kids1	0.05*
	(0.03)
3o.smartcat#1o.kids1	0.00
	(0.00)
1b.smartcat#0b.married	0.00
	(0.00)
1b.smartcat#1.married	0.12***
	(0.04)
2.smartcat#0b.married	-0.06***
	(0.02)
2o.smartcat#1o.married	0.00
	(0.00)
3.smartcat#0b.married	0.13***
	(0.03)
3o.smartcat#1o.married	0.00
	(0.00)
1b.smartcat#1.pref_opport	0.05
	(0.04)
1b.smartcat#2b.pref_opport	0.00
	(0.00)
1b.smartcat#3.pref_opport	0.06
	(0.04)
1b.smartcat#4.pref_opport	-0.01
	(0.07)
2.smartcat#1.pref_opport	0.08
	(0.05)
2.smartcat#2b.pref_opport	0.05
	(0.05)
2.smartcat#3.pref_opport	0.02
	(0.05)
2o.smartcat#4o.pref_opport	0.00
	(0.00)
3.smartcat#1.pref_opport	0.37***
	(0.07)
3.smartcat#2b.pref_opport	0.24***
	(0.07)
3.smartcat#3.pref_opport	0.21***
	(0.07)
3o.smartcat#4o.pref_opport	0.00
	(0.00)
1b.smartcat#c.optimism	0.05
	(0.06)
2.smartcat#c.optimism	0.23***
	(0.03)
3.smartcat#c.optimism	-0.01
	(0.04)
1b.smartcat#0b.respect	0.00
	(0.00)
1b.smartcat#1.respect	0.01
	(0.04)
2.smartcat#0b.respect	-0.02
	(0.02)
2o.smartcat#1o.respect	0.00
	(0.00)
3.smartcat#0b.respect	-0.01
	(0.03)
3o.smartcat#1o.respect	0.00
	(0.00)
1b.smartcat#0b.internet	0.00
	(0.00)
1b.smartcat#1.internet	-0.01
	(0.05)
2.smartcat#0b.internet	-0.27***
	(0.03)
2o.smartcat#1o.internet	0.00
	(0.00)
3.smartcat#0b.internet	-0.19***
	(0.03)
3o.smartcat#1o.internet	0.00
	(0.00)
1b.smartcat#0b.phone	0.00
	(0.00)
1b.smartcat#1.phone	0.26***
	(0.04)
2.smartcat#0b.phone	0.03
	(0.04)
2o.smartcat#1o.phone	0.00
	(0.00)
3.smartcat#0b.phone	-0.21***
	(0.04)
3o.smartcat#1o.phone	0.00
	(0.00)
1b.smartcat#1b.poor	0.00
	(0.00)
1b.smartcat#2.poor	0.14***
	(0.04)
1b.smartcat#3.poor	0.23***
	(0.04)
2.smartcat#1b.poor	-0.18***
	(0.03)
2.smartcat#2.poor	-0.09***
	(0.03)
